[1.06, 0.05]
[1.45, 0.06]
[1.57, 0.12]
[1.71, 0.13]
[1.99, 0.28]
[2.11, 0.11]
[2.39, 0.28]
[2.5, 0.11]
[3.15, 2.05]
[3.17, 0.67]
[3.65, 0.48]
[4.12, 0.46]
[4.18, 0.69]
[4.28, 0.11]
[4.4, 0.11]
[4.52, 0.11]
[4.58, 0.06]
[4.68, 0.57]
[5.25, 0.56]
[5.29, 0.69]
[5.87, 0.61]
[6.0, 0.7]
[6.45, 0.58]
[6.46, 0.45]
[6.55, 0.08]
[6.66, 0.11]
[6.87, 0.2]
[7.07, 0.61]
[7.63, 0.76]
[7.68, 0.04]
[7.73, 0.66]
[7.87, 0.12]
[7.98, 0.1]
[8.07, 0.09]
[8.67, 0.6]
[8.88, 1.2]
[9.28, 0.6]
[9.44, 0.16]
[9.96, 1.08]
[10.07, 0.11]
[10.1, 0.67]
[10.2, 0.11]
[10.2, 0.09]
[10.28, 0.07]
[10.38, 0.09]
[10.47, 0.09]
[10.56, 0.09]
[10.61, 0.05]
[10.72, 0.1]
[10.87, 0.66]
[11.28, 0.56]
[11.52, 0.65]
[11.64, 0.12]
[11.92, 0.28]
[12.07, 0.79]
[12.16, 0.08]
[12.27, 0.34]
[12.38, 0.11]
[12.49, 0.1]
[12.58, 0.1]
[12.72, 0.56]
[13.21, 0.63]
[13.64, 0.91]
[13.94, 0.72]
[13.98, 0.33]
[14.05, 0.11]
[14.05, 0.06]
[14.56, 0.51]
[14.62, 0.56]
[14.7, 0.14]
[14.86, 0.16]
[15.35, 0.63]
[15.4, 0.53]
[15.95, 0.6]
[16.07, 0.11]
[16.11, 0.72]
[16.12, 0.05]
[16.25, 0.13]
[16.26, 0.1]
[16.36, 0.11]
[16.44, 0.08]
[16.65, 0.37]
[17.03, 0.58]
[17.22, 0.57]
[17.31, 0.08]
[17.62, 0.58]
[18.09, 0.77]
[18.17, 0.08]
[18.22, 0.6]
[18.31, 0.09]
[18.86, 0.69]
[18.94, 0.63]
[18.99, 0.09]
[19.53, 0.59]
[19.56, 0.56]
[19.87, 0.3]
[19.95, 0.08]
[20.51, 0.55]
[20.53, 1.0]
[20.59, 0.07]
[20.6, 0.07]
[21.09, 0.5]
[21.16, 0.06]
[21.21, 0.6]
[21.71, 0.55]
[21.8, 0.58]
[21.9, 0.11]
[22.18, 0.47]
[22.29, 0.1]
[22.35, 0.45]
[22.44, 0.08]
[22.56, 0.11]
[22.66, 0.37]
[22.8, 0.13]
[22.85, 0.29]
[22.93, 0.08]
[22.94, 0.13]
[23.01, 0.08]
[23.11, 0.09]
[23.12, 0.18]
[23.2, 0.09]
[23.23, 0.1]
