[0.0,1.221]
[0.07,1.149]
[0.08,1.091]
[0.08,1.248]
[0.12,0.289]
[0.12,0.612]
[0.16,0.259]
[0.2,0.233]
[0.2,0.236]
[0.28,0.144]
[0.54,0.119]
[0.64,0.123]
[0.75,0.093]
[0.87,0.126]
[1.21,0.104]
[1.26,0.166]
[1.3,0.101]
[1.65,0.131]
[1.66,0.113]
[1.72,0.112]
[1.72,0.107]
[1.89,0.112]
[1.96,0.096]
[2.11,0.101]
[2.31,0.095]
[2.67,0.123]
[2.73,0.105]
[3.73,0.094]
[3.84,0.107]
[4.05,0.102]
[4.11,0.093]
[4.21,0.104]
[4.23,0.103]
[4.42,0.092]
[4.5,0.159]
[4.92,0.091]
[4.98,0.094]
[5.04,0.129]
[5.05,0.117]
[5.12,0.099]
[5.17,0.119]
[5.19,0.118]
[5.57,0.105]
[5.82,0.111]
[6.71,0.128]
[7.02,0.113]
[7.13,0.13]
[7.19,0.105]
[7.2,0.124]
[7.24,0.113]
[7.28,0.112]
[7.35,0.094]
[7.41,0.091]
[7.46,0.096]
[7.47,0.093]
[7.6,0.1]
[8.01,0.093]
[8.05,0.103]
[8.16,0.088]
[8.31,0.101]
[8.35,0.183]
[8.5,0.094]
[8.51,0.112]
[8.85,0.127]
[8.93,0.092]
[8.93,0.103]
[9.05,0.091]
[9.16,0.089]
[9.28,0.119]
[9.49,0.143]
[9.53,0.095]
[9.65,0.094]
[9.97,0.123]
[10.47,0.112]
[10.57,0.096]
[10.59,0.085]
[10.83,0.091]
[10.96,0.092]
[11.06,0.091]
[11.52,0.096]
[11.68,0.099]
[11.71,0.126]
[12.1,0.091]
[12.2,0.092]
[12.4,0.113]
[12.9,0.098]
[13.01,0.102]
[13.06,0.121]
[13.07,0.125]
[13.43,0.094]
[13.44,0.111]
[13.66,0.093]
[13.67,0.119]
[13.79,0.126]
[13.83,0.12]
[14.0,0.103]
[14.14,0.099]
[14.22,0.091]
[14.33,0.128]
[14.46,0.086]
[14.61,0.089]
[14.66,0.091]
[14.76,0.098]
[14.83,0.093]
[14.84,0.086]
[14.89,0.095]
[15.11,0.106]
[15.27,0.111]
[15.34,0.094]
[15.51,0.102]
[15.53,0.095]
[15.54,0.111]
[15.75,0.186]
[16.03,0.098]
[16.41,0.095]
[16.59,0.115]
[16.59,0.095]
[16.7,0.098]
[16.73,0.098]
[16.87,0.126]
[16.89,0.085]
[17.03,0.088]
[17.43,0.115]
[17.55,0.099]
[17.7,0.119]
[17.7,0.095]
[17.98,0.173]
[18.47,0.099]
[18.64,0.09]
[18.87,0.109]
[18.97,0.103]
[18.98,0.135]
[19.0,0.323]
[19.0,0.309]
[19.08,0.099]
[19.08,0.31]
[19.1,0.118]
[19.13,0.096]
[19.14,0.303]
